1	205745332.29
2	254554737.92
3	53202170.99
4	277074202.72
5	41871348.94
6	206921432.37
7	74865301.52
8	120181690.64
9	71886849.38
10	250439941.56
11	179459230.82
12	132888399.2
13	265340503.84
14	267761239.05
15	82057384.36
16	68572302.09
17	117963864.89
18	143398259.89
19	190842894.18
20	278861420.44
21	99837463.87
22	136206215.7
23	184092742.12
24	179247728.88
25	93646632.27
26	132672998.65
27	234900610.31
28	174458058.46
29	71057259.74
30	58338133.28
31	184595457.49
32	154758729.9
33	34532690.19
34	127809634.63
35	120754119.62
36	49733664.19
37	69116206.59
38	51337795.26
39	191913023.17
40	127771852.19
41	167975485.28
42	73878385.08
43	84199495.87
44	40325860.63
45	104013776.18
